conteo,tupla,X,L,M,T,P,Pr
4,6|39,74,65,65|107|9|105|88,65|107|9|105|88,0.0010666666666666667,0.4447888888888889
4,6|40,74,10,10|125|45|115|79,10|125|45|115|79,0.0010666666666666667,0.4447888888888889
5,6|41,62,125,41,125|9|41|41|31|127,0.0013333333333333333,0.6671111111111111
7,6|42,46,83,83|51|1|124|27|55|7|26,83|51|1|124|27|55|7|26,0.0018666666666666666,0.44505555555555554
4,6|43,74,10,10|162|109|15|78,10|162|109|15|78,0.0010666666666666667,0.4447888888888889
2,7|8,124,168,168|85|121,168|85|121,0.0005333333333333334,0.44461111111111107
3,7|9,93,58,58|133|120|63,58|133|120|63,0.0008,0.44469999999999993
3,7|10,93,87,87|188|23|76,87|188|23|76,0.0008,0.44469999999999993
5,7|11,62,31,31|159|10|17|116|41,31|159|10|17|116|41,0.0013333333333333333,0.44487777777777776
6,7|12,62,58,58|5|194|95|19|3,58|5|194|95|19|3,0.0016,0.4449666666666667
1,7|13,187,225,225|149,225|149,0.0002666666666666667,0.4445222222222222
4,7|14,74,37,37|20|3|122|192,37|20|3|122|192,0.0010666666666666667,0.4447888888888889
1,7|15,187,8,8|366,8|366,0.0002666666666666667,0.4445222222222222
6,7|16,53,31,26,31|26|52|82|26|68|89,0.0016,0.6671999999999999
1,7|17,187,280,280|94,280|94,0.0002666666666666667,0.4445222222222222
5,7|18,62,36,36|21|196|27|5|89,36|21|196|27|5|89,0.0013333333333333333,0.44487777777777776
5,7|19,62,7,7|102|73|8|162|22,7|102|73|8|162|22,0.0013333333333333333,0.44487777777777776
3,7|20,93,109,109|140|24|101,109|140|24|101,0.0008,0.44469999999999993
1,7|21,187,352,352|22,352|22,0.0002666666666666667,0.4445222222222222
3,7|22,93,133,133|49|183|9,133|49|183|9,0.0008,0.44469999999999993
7,7|23,46,8,8|28|70|111|116|17|1|23,8|28|70|111|116|17|1|23,0.0018666666666666666,0.44505555555555554
4,7|24,74,42,42|149|107|52|24,42|149|107|52|24,0.0010666666666666667,0.4447888888888889
5,7|25,62,37,37|50|46|57|63|121,37|50|46|57|63|121,0.0013333333333333333,0.44487777777777776
1,7|26,187,257,257|117,257|117,0.0002666666666666667,0.4445222222222222
3,7|27,93,7,7|80|81|206,7|80|81|206,0.0008,0.44469999999999993
2,7|28,124,46,46|265|63,46|265|63,0.0005333333333333334,0.44461111111111107
2,7|29,124,42,42|323|9,42|323|9,0.0005333333333333334,0.44461111111111107
6,7|30,53,8,23,8|23|11|64|174|71|23,0.0016,0.6671999999999999
5,7|31,62,7,7|29|1|154|107|76,7|29|1|154|107|76,0.0013333333333333333,0.44487777777777776
3,7|32,93,8,8|38|319|9,8|38|319|9,0.0008,0.44469999999999993
2,7|33,124,280,280|71|23,280|71|23,0.0005333333333333334,0.44461111111111107
4,7|34,74,58,58|110|81|101|24,58|110|81|101|24,0.0010666666666666667,0.4447888888888889
3,7|35,93,31,31|29|46|268,31|29|46|268,0.0008,0.44469999999999993
7,7|36,46,7,76,7|29|21|76|140|2|76|23,0.0018666666666666666,0.6672888888888888
6,7|37,53,109,18,109|24|116|18|18|86|3,0.0016,0.6671999999999999
2,7|38,124,42,42|225|107,42|225|107,0.0005333333333333334,0.44461111111111107
3,7|39,93,200,200|67|83|24,200|67|83|24,0.0008,0.44469999999999993
2,7|40,124,63,63|222|89,63|222|89,0.0005333333333333334,0.44461111111111107
5,7|41,62,200,200|67|8|58|32|9,200|67|8|58|32|9,0.0013333333333333333,0.44487777777777776
1,7|42,187,273,273|101,273|101,0.0002666666666666667,0.4445222222222222
6,7|43,53,60,60|193|4|16|25|35|41,60|193|4|16|25|35|41,0.0016,0.4449666666666667
3,8|9,93,88,88|28|114|144,88|28|114|144,0.0008,0.44469999999999993
2,8|10,124,80,80|152|142,80|152|142,0.0005333333333333334,0.44461111111111107
6,8|11,53,21,21|47|6|33|141|13|113,21|47|6|33|141|13|113,0.0016,0.4449666666666667
6,8|12,53,52,52|25|39|14|184|50|10,52|25|39|14|184|50|10,0.0016,0.4449666666666667
5,8|13,62,80,80|27|24|46|127|70,80|27|24|46|127|70,0.0013333333333333333,0.44487777777777776
6,8|14,53,2,2|41|8|45|81|128|69,2|41|8|45|81|128|69,0.0016,0.4449666666666667
3,8|15,93,68,68|124|40|142,68|124|40|142,0.0008,0.44469999999999993
4,8|16,74,21,21|31|170|113|39,21|31|170|113|39,0.0010666666666666667,0.4447888888888889
6,8|17,53,35,35|42|19|34|85|46|113,35|42|19|34|85|46|113,0.0016,0.4449666666666667
3,8|18,93,61,61|46|146|121,61|46|146|121,0.0008,0.44469999999999993
7,8|19,46,43,43|30|24|17|49|67|105|39,43|30|24|17|49|67|105|39,0.0018666666666666666,0.44505555555555554
6,8|20,53,80,80|34|99|42|50|59|10,80|34|99|42|50|59|10,0.0016,0.4449666666666667
3,8|21,93,52,52|92|71|159,52|92|71|159,0.0008,0.44469999999999993
5,8|22,62,97,97|56|95|57|9|60,97|56|95|57|9|60,0.0013333333333333333,0.44487777777777776
5,8|23,62,51,51|45|134|31|22|91,51|45|134|31|22|91,0.0013333333333333333,0.44487777777777776
2,8|24,124,227,227|56|91,227|56|91,0.0005333333333333334,0.44461111111111107
9,8|25,37,61,61|12|15|9|54|64|7|31|2|119,61|12|15|9|54|64|7|31|2|119,0.0024,0.4452333333333333
2,8|26,124,35,35|192|147,35|192|147,0.0005333333333333334,0.44461111111111107
7,8|27,46,35,17,35|17|55|56|5|17|70|119,0.0018666666666666666,0.6672888888888888
6,8|28,53,2,41,2|41|12|76|20|41|182,0.0016,0.6671999999999999
4,8|29,74,61,61|70|173|10|60,61|70|173|10|60,0.0010666666666666667,0.4447888888888889
2,8|31,124,35,35|269|70,35|269|70,0.0005333333333333334,0.44461111111111107
4,8|32,74,21,21|144|48|70|91,21|144|48|70|91,0.0010666666666666667,0.4447888888888889
2,8|33,124,88,88|139|147,88|139|147,0.0005333333333333334,0.44461111111111107
4,8|34,74,2,2|142|21|3|206,2|142|21|3|206,0.0010666666666666667,0.4447888888888889
7,8|35,46,68,68|46|16|14|83|21|87|39,68|46|16|14|83|21|87|39,0.0018666666666666666,0.44505555555555554
6,8|36,53,73,73|1|139|9|61|81|10,73|1|139|9|61|81|10,0.0016,0.4449666666666667
4,8|37,74,96,96|57|24|45|152,96|57|24|45|152,0.0010666666666666667,0.4447888888888889
4,8|38,74,73,73|24|95|38|144,73|24|95|38|144,0.0010666666666666667,0.4447888888888889
4,8|39,74,116,116,116|116|29|53|60,0.0010666666666666667,0.6670222222222222
7,8|40,46,51,51|17|83|14|48|2|149|10,51|17|83|14|48|2|149|10,0.0018666666666666666,0.44505555555555554
3,8|41,93,55,55|193|87|39,55|193|87|39,0.0008,0.44469999999999993
