conteo,tupla,X,L,M,T,P,Pr
1,11|22|27,187,78,78|296,78|296,0.0002666666666666667,0.4445222222222222
1,11|22|33,187,4,4|370,4|370,0.0002666666666666667,0.4445222222222222
1,11|22|34,187,33,33|341,33|341,0.0002666666666666667,0.4445222222222222
1,11|22|35,187,78,78|296,78|296,0.0002666666666666667,0.4445222222222222
1,11|22|38,187,33,33|341,33|341,0.0002666666666666667,0.4445222222222222
2,11|23|26,124,44,44|117|213,44|117|213,0.0005333333333333334,0.44461111111111107
2,11|23|30,124,77,77|269|28,77|269|28,0.0005333333333333334,0.44461111111111107
1,11|23|32,187,77,77|297,77|297,0.0002666666666666667,0.4445222222222222
1,11|23|35,187,346,346|28,346|28,0.0002666666666666667,0.4445222222222222
1,11|23|38,187,273,273|101,273|101,0.0002666666666666667,0.4445222222222222
1,11|23|39,187,161,161|213,161|213,0.0002666666666666667,0.4445222222222222
1,11|23|42,187,210,210|164,210|164,0.0002666666666666667,0.4445222222222222
1,11|24|26,187,136,136|238,136|238,0.0002666666666666667,0.4445222222222222
1,11|24|27,187,136,136|238,136|238,0.0002666666666666667,0.4445222222222222
1,11|24|32,187,36,36|338,36|338,0.0002666666666666667,0.4445222222222222
1,11|24|34,187,68,68|306,68|306,0.0002666666666666667,0.4445222222222222
2,11|24|39,124,36,36|32|306,36|32|306,0.0005333333333333334,0.44461111111111107
1,11|25|38,187,299,299|75,299|75,0.0002666666666666667,0.4445222222222222
1,11|26|27,187,136,136|238,136|238,0.0002666666666666667,0.4445222222222222
1,11|26|39,187,161,161|213,161|213,0.0002666666666666667,0.4445222222222222
1,11|27|28,187,110,110|264,110|264,0.0002666666666666667,0.4445222222222222
1,11|27|35,187,78,78|296,78|296,0.0002666666666666667,0.4445222222222222
1,11|27|41,187,235,235|139,235|139,0.0002666666666666667,0.4445222222222222
1,11|28|31,187,365,365|9,365|9,0.0002666666666666667,0.4445222222222222
1,11|28|33,187,365,365|9,365|9,0.0002666666666666667,0.4445222222222222
1,11|28|34,187,81,81|293,81|293,0.0002666666666666667,0.4445222222222222
1,11|28|39,187,81,81|293,81|293,0.0002666666666666667,0.4445222222222222
1,11|28|41,187,365,365|9,365|9,0.0002666666666666667,0.4445222222222222
1,11|29|32,187,311,311|63,311|63,0.0002666666666666667,0.4445222222222222
1,11|30|32,187,77,77|297,77|297,0.0002666666666666667,0.4445222222222222
1,11|30|35,187,346,346|28,346|28,0.0002666666666666667,0.4445222222222222
1,11|30|36,187,313,313|61,313|61,0.0002666666666666667,0.4445222222222222
1,11|30|40,187,109,109|265,109|265,0.0002666666666666667,0.4445222222222222
2,11|30|42,124,109,109|144|121,109|144|121,0.0005333333333333334,0.44461111111111107
1,11|30|43,187,313,313|61,313|61,0.0002666666666666667,0.4445222222222222
1,11|31|33,187,365,365|9,365|9,0.0002666666666666667,0.4445222222222222
