conteo,tupla,X,L,M,R,T,P,Pr,PrX,PrL,PrM
1,6|17|23|27,197,317,120,317|77,317|77,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|23|32,197,317,120,317|77,317|77,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|24|25,197,4,193,4|390,4|390,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|24|39,197,192,5,192|202,192|202,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|24|43,197,192,5,192|202,192|202,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|27|32,197,317,120,317|77,317|77,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|30|42,197,2,195,2|392,2|392,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|31|32,197,267,70,267|127,267|127,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|31|41,197,267,70,267|127,267|127,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|32|41,197,267,70,267|127,267|127,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|33|38,197,9,188,9|385,9|385,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|39|43,197,192,5,192|202,192|202,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|18|34|40,197,30,167,30|364,30|364,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|18|34|43,197,30,167,30|364,30|364,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|18|40|43,197,30,167,30|364,30|364,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|19|23|25,197,145,52,145|249,145|249,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|19|23|41,197,145,52,145|249,145|249,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|19|25|28,197,392,195,392|2,392|2,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|19|25|36,197,392,195,392|2,392|2,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|19|25|41,197,145,52,145|249,145|249,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|19|27|42,197,279,82,279|115,279|115,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|19|28|36,197,392,195,392|2,392|2,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|20|24|30,197,260,63,260|134,260|134,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|20|25|27,197,301,104,301|93,301|93,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|20|25|43,197,301,104,301|93,301|93,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|20|27|43,197,301,104,301|93,301|93,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|20|33|36,197,236,39,236|158,236|158,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|20|33|41,197,236,39,236|158,236|158,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|20|36|41,197,236,39,236|158,236|158,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|21|28|35,197,48,149,48|346,48|346,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
