conteo,tupla,X,L,M,T
3,6|37,88.0,155,155|171|23|3,155|171|23|3
2,6|38,117.33333333333333,119,119|65|168,119|65|168
4,6|39,70.4,43,43|107|9|105|88,43|107|9|105|88
3,6|40,88.0,113,113|45|115|79,113|45|115|79
5,6|41,58.666666666666664,103,41,103|9|41|41|31|127
7,6|42,44.0,61,61|51|1|124|27|55|7|26,61|51|1|124|27|55|7|26
3,6|43,88.0,150,150|109|15|78,150|109|15|78
3,7|8,117.33333333333333,146,146|85|121,146|85|121
4,7|9,88.0,36,36|133|120|63,36|133|120|63
4,7|10,88.0,65,65|188|23|76,65|188|23|76
7,7|11,58.666666666666664,9,9|159|10|17|116|41,9|159|10|17|116|41
6,7|12,58.666666666666664,36,36|5|194|95|19|3,36|5|194|95|19|3
1,7|13,176.0,203,203|149,203|149
5,7|14,70.4,15,15|20|3|122|192,15|20|3|122|192
8,7|16,50.285714285714285,9,26,9|26|52|82|26|68|89
2,7|17,176.0,258,258|94,258|94
6,7|18,58.666666666666664,14,14|21|196|27|5|89,14|21|196|27|5|89
4,7|19,70.4,87,87|73|8|162|22,87|73|8|162|22
4,7|20,88.0,87,87|140|24|101,87|140|24|101
1,7|21,176.0,330,330|22,330|22
5,7|22,88.0,111,111|49|183|9,111|49|183|9
8,7|23,50.285714285714285,14,14|70|111|116|17|1|23,14|70|111|116|17|1|23
5,7|24,70.4,20,20|149|107|52|24,20|149|107|52|24
5,7|25,58.666666666666664,15,15|50|46|57|63|121,15|50|46|57|63|121
1,7|26,176.0,235,235|117,235|117
2,7|27,117.33333333333333,65,65|81|206,65|81|206
2,7|28,117.33333333333333,24,24|265|63,24|265|63
2,7|29,117.33333333333333,20,20|323|9,20|323|9
5,7|30,58.666666666666664,9,9|11|64|174|71|23,9|11|64|174|71|23
4,7|31,70.4,14,14|1|154|107|76,14|1|154|107|76
2,7|32,117.33333333333333,24,24|319|9,24|319|9
2,7|33,117.33333333333333,258,258|71|23,258|71|23
4,7|34,70.4,36,36|110|81|101|24,36|110|81|101|24
3,7|35,88.0,9,9|29|46|268,9|29|46|268
6,7|36,50.285714285714285,14,76,14|21|76|140|2|76|23
7,7|37,50.285714285714285,87,18,87|24|116|18|18|86|3
2,7|38,117.33333333333333,20,20|225|107,20|225|107
3,7|39,88.0,178,178|67|83|24,178|67|83|24
2,7|40,117.33333333333333,41,41|222|89,41|222|89
5,7|41,58.666666666666664,178,178|67|8|58|32|9,178|67|8|58|32|9
1,7|42,176.0,251,251|101,251|101
6,7|43,50.285714285714285,38,38|193|4|16|25|35|41,38|193|4|16|25|35|41
4,8|9,88.0,66,66|28|114|144,66|28|114|144
2,8|10,117.33333333333333,58,58|152|142,58|152|142
9,8|11,58.666666666666664,46,46|6|33|141|13|113,46|6|33|141|13|113
9,8|12,50.285714285714285,30,30|25|39|14|184|50|10,30|25|39|14|184|50|10
5,8|13,58.666666666666664,58,58|27|24|46|127|70,58|27|24|46|127|70
7,8|14,58.666666666666664,21,21|8|45|81|128|69,21|8|45|81|128|69
4,8|15,88.0,46,46|124|40|142,46|124|40|142
5,8|16,88.0,30,30|170|113|39,30|170|113|39
8,8|17,50.285714285714285,13,13|42|19|34|85|46|113,13|42|19|34|85|46|113
3,8|18,88.0,39,39|46|146|121,39|46|146|121
9,8|19,44.0,21,21|30|24|17|49|67|105|39,21|30|24|17|49|67|105|39
7,8|20,50.285714285714285,58,58|34|99|42|50|59|10,58|34|99|42|50|59|10
3,8|21,88.0,30,30|92|71|159,30|92|71|159
5,8|22,58.666666666666664,75,75|56|95|57|9|60,75|56|95|57|9|60
6,8|23,58.666666666666664,29,29|45|134|31|22|91,29|45|134|31|22|91
3,8|24,117.33333333333333,205,205|56|91,205|56|91
9,8|25,35.2,39,39|12|15|9|54|64|7|31|2|119,39|12|15|9|54|64|7|31|2|119
2,8|26,117.33333333333333,13,13|192|147,13|192|147
7,8|27,44.0,13,17,13|17|55|56|5|17|70|119
5,8|28,58.666666666666664,21,21|12|76|20|41|182,21|12|76|20|41|182
4,8|29,70.4,39,39|70|173|10|60,39|70|173|10|60
2,8|31,117.33333333333333,13,13|269|70,13|269|70
3,8|32,88.0,143,143|48|70|91,143|48|70|91
2,8|33,117.33333333333333,66,66|139|147,66|139|147
3,8|34,88.0,122,122|21|3|206,122|21|3|206
7,8|35,44.0,46,46,46|46|16|14|83|21|87|39
6,8|36,50.285714285714285,51,51|1|139|9|61|81|10,51|1|139|9|61|81|10
4,8|37,70.4,74,74|57|24|45|152,74|57|24|45|152
4,8|38,70.4,51,51|24|95|38|144,51|24|95|38|144
4,8|39,70.4,94,94|116|29|53|60,94|116|29|53|60
7,8|40,44.0,29,29|17|83|14|48|2|149|10,29|17|83|14|48|2|149|10
3,8|41,88.0,33,33|193|87|39,33|193|87|39
2,8|42,117.33333333333333,170,170|113|69,170|113|69
2,8|43,117.33333333333333,55,55|176|121,55|176|121
1,9|10,176.0,95,95|257,95|257
1,9|11,176.0,219,219|133,219|133
13,9|12,39.111111111111114,36,36|1|57|27|117|29|24|46|15,36|1|57|27|117|29|24|46|15
6,9|13,70.4,3,3|113|61|144|31,3|113|61|144|31
5,9|14,88.0,53,53|122|17|160,53|122|17|160
5,9|15,70.4,70,70|184|46|26|26,70|184|46|26|26
5,9|16,70.4,3,3|132|34|69|114,3|132|34|69|114
5,9|17,88.0,2,2|43|27|280,2|43|27|280
4,9|18,70.4,116,116|122|29|24|61,116|122|29|24|61
3,9|19,88.0,116,116|92|46|98,116|92|46|98
5,9|20,70.4,48,48|87|199|2|16,48|87|199|2|16
2,9|23,117.33333333333333,37,37|171|144,37|171|144
4,9|24,70.4,70,70|99|131|36|16,70|99|131|36|16
2,9|25,117.33333333333333,66,66|109|177,66|109|177
1,9|26,176.0,175,175|177,175|177
3,9|27,88.0,72,72|26|156|98,72|26|156|98
5,9|28,58.666666666666664,2,2|43|90|57|97|63,2|43|90|57|97|63
3,9|29,88.0,70,70|28|179|75,70|28|179|75
2,9|30,117.33333333333333,3,3|251|98,3|251|98
6,9|31,50.285714285714285,45,8,45|8|68|48|8|159|16
2,9|32,117.33333333333333,267,267|67|18,267|67|18
7,9|33,44.0,37,37|29|50|5|56|15|144|16,37|29|50|5|56|15|144|16
5,9|34,58.666666666666664,36,36|17|153|32|99|15,36|17|153|32|99|15
4,9|35,70.4,2,2|46|47|3|254,2|46|47|3|254
1,9|36,176.0,37,37|315,37|315
4,9|37,70.4,135,135|40|116|35|26,135|40|116|35|26
3,9|38,88.0,2,2|206|59|85,2|206|59|85
2,9|39,117.33333333333333,94,94|170|88,94|170|88
4,9|40,70.4,45,45|50|226|16|15,45|50|226|16|15
2,9|41,117.33333333333333,177,177|114|61,177|114|61
6,9|42,50.285714285714285,72,13,72|134|13|45|13|49|26
3,9|43,88.0,48,48|73|71|160,48|73|71|160
6,10|11,88.0,8,8|61|49|234,8|61|49|234
9,10|12,58.666666666666664,110,110|49|29|25|35|104,110|49|29|25|35|104
5,10|13,70.4,26,26|32|130|118|46,26|32|130|118|46
12,10|14,44.0,43,43|85|6|40|2|26|55|95,43|85|6|40|2|26|55|95
7,10|15,58.666666666666664,59,10,59|10|10|39|92|142
8,10|16,50.285714285714285,79,79|7|3|159|61|23|20,79|7|3|159|61|23|20
6,10|17,70.4,144,144|104|47|15|42,144|104|47|15|42
7,10|18,58.666666666666664,12,12|147|87|11|75|20,12|147|87|11|75|20
3,10|19,88.0,174,174|72|63|43,174|72|63|43
10,10|20,39.111111111111114,5,5|53|1|38|18|12|75|55|95,5|53|1|38|18|12|75|55|95
5,10|21,58.666666666666664,5,5|7|190|101|3|46,5|7|190|101|3|46
2,10|22,117.33333333333333,26,26|17|309,26|17|309
7,10|23,50.285714285714285,86,86|79|77|24|37|6|43,86|79|77|24|37|6|43
4,10|24,70.4,12,132,12|132|132|34|42
8,10|25,44.0,65,21,65|21|3|21|5|15|136|86
2,10|26,117.33333333333333,26,26|240|86,26|240|86
5,10|27,58.666666666666664,10,10|55|45|18|120|104,10|55|45|18|120|104
3,10|28,88.0,69,69|46|192|45,69|46|192|45
4,10|29,70.4,79,79|51|14|32|176,79|51|14|32|176
4,10|30,70.4,10,10|87|18|61|176,10|87|18|61|176
5,10|31,58.666666666666664,10,10|108|5|119|34|76,10|108|5|119|34|76
4,10|32,70.4,59,59|68|34|27|164,59|68|34|27|164
3,10|33,88.0,127,127|130|9|86,127|130|9|86
5,10|34,58.666666666666664,5,5|129|79|29|67|43,5|129|79|29|67|43
8,10|35,39.111111111111114,69,69|26|33|2|83|90|4|25|20,69|26|33|2|83|90|4|25|20
4,10|36,70.4,5,5|208|33|7|99,5|208|33|7|99
4,10|37,70.4,8,8|122|165|15|42,8|122|165|15|42
4,10|38,70.4,118,118,118|47|23|118|46
6,10|39,50.285714285714285,43,36,43|36|18|62|15|36|142
5,10|40,58.666666666666664,8,8|87|39|27|171|20,8|87|39|27|171|20
9,10|41,35.2,8,51,8|51|30|21|18|46|28|51|54|45
4,10|42,70.4,26,26|135|15|134|42,26|135|15|134|42
5,10|43,58.666666666666664,12,12|132|21|81|30|76,12|132|21|81|30|76
6,11|12,70.4,140,140|90|13|30|79,140|90|13|30|79
1,11|13,176.0,85,85|267,85|267
3,11|14,117.33333333333333,99,99|5|248,99|5|248
5,11|15,70.4,46,46|23|49|168|66,46|23|49|168|66
4,11|16,70.4,9,9|90|41|55|157,9|90|41|55|157
2,11|17,117.33333333333333,239,239|34|79,239|34|79
7,11|18,58.666666666666664,85,85|20|2|148|38|59,85|20|2|148|38|59
5,11|19,88.0,81,81|87|178|6,81|87|178|6
5,11|20,88.0,50,50|54|85|163,50|54|85|163
8,11|21,58.666666666666664,50,50|26|113|9|101|53,50|26|113|9|101|53
2,11|22,117.33333333333333,18,18|208|126,18|208|126
9,11|23,39.111111111111114,105,105|84|6|44|46|1|7|18|41,105|84|6|44|46|1|7|18|41
3,11|24,88.0,90,90|165|31|66,90|165|31|66
4,11|25,70.4,18,18|150|62|56|66,18|150|62|56|66
4,11|26,70.4,18,18|22|100|80|132,18|22|100|80|132
4,11|27,70.4,85,85|53|60|148|6,85|53|60|148|6
4,11|28,70.4,69,69|21|254|2|6,69|21|254|2|6
2,11|29,117.33333333333333,81,81|26|245,81|26|245
2,11|30,117.33333333333333,9,9|95|248,9|95|248
3,11|31,88.0,118,118|181|45|8,118|181|45|8
4,11|32,70.4,40,40|149|104|6|53,40|149|104|6|53
5,11|33,58.666666666666664,76,76|38|106|10|55|67,76|38|106|10|55|67
1,11|34,176.0,104,104|248,104|248
5,11|35,58.666666666666664,9,9|37|23|38|119|126,9|37|23|38|119|126
5,11|36,58.666666666666664,52,52|29|18|15|171|67,52|29|18|15|171|67
4,11|37,70.4,8,8|99|148|91|6,8|99|148|91|6
3,11|38,88.0,50,50|64|4|234,50|64|4|234
8,11|39,39.111111111111114,76,76|14|48|40|52|9|4|56|53,76|14|48|40|52|9|4|56|53
8,11|40,39.111111111111114,8,8|38|4|31|139|23|30|20|59,8|38|4|31|139|23|30|20|59
8,11|41,39.111111111111114,8,8|32|98|40|20|28|85|33|8,8|32|98|40|20|28|85|33|8
2,11|42,117.33333333333333,219,219|66|67,219|66|67
5,11|43,58.666666666666664,76,76|29|93|45|68|41,76|29|93|45|68|41
1,12|12,7.333333333333333,22,1,22|8|6|1|4|14|5|4|14|10|3|3|14|2|7|2|2|3|1|15|17|2|29|25|1|1|7|8|5|3|2|3|5|2|17|4|1|1|18|1|24|14|7|4|1|5|2|3
7,12|13,70.4,188,188|52|32|69|11,188|52|32|69|11
1,12|14,176.0,119,119|233,119|233
6,12|15,58.666666666666664,60,60|18|41|6|147|80,60|18|41|6|147|80
8,12|16,39.111111111111114,30,10,30|48|10|36|16|74|24|10|104
4,12|17,70.4,55,55|53|140|25|79,55|53|140|25|79
7,12|18,44.0,157,157|2|79|29|5|19|25|36,157|2|79|29|5|19|25|36
7,12|19,70.4,91,91|180|59|17|5,91|180|59|17|5
3,12|20,88.0,91,91|124|127|10,91|124|127|10
3,12|21,88.0,30,30|184|116|22,30|184|116|22
4,12|22,88.0,64,64|228|55|5,64|228|55|5
2,12|23,117.33333333333333,37,37|203|112,37|203|112
1,12|24,176.0,117,117|235,117|235
7,12|25,50.285714285714285,22,22|88|7|105|8|111|11,22|88|7|105|8|111|11
6,12|26,50.285714285714285,22,95,22|95|7|1|15|95|117
