conteo,tupla,X,L,M,T
1,17|23|25|31,176.0,284,284|68,284|68
1,17|23|27|32,176.0,275,275|77,275|77
1,17|23|29|31,176.0,284,284|68,284|68
1,17|24|29|43,176.0,144,144|208,144|208
1,17|24|37|42,176.0,310,310|42,310|42
1,17|24|39|43,176.0,150,150|202,150|202
1,17|25|29|31,176.0,284,284|68,284|68
1,17|25|39|42,176.0,137,137|215,137|215
1,17|26|27|28,176.0,301,301|51,301|51
1,17|26|27|31,176.0,13,13|339,13|339
1,17|26|27|40,176.0,301,301|51,301|51
1,17|26|28|29,176.0,256,256|96,256|96
1,17|26|28|40,176.0,301,301|51,301|51
1,17|26|28|42,176.0,256,256|96,256|96
1,17|26|29|42,176.0,256,256|96,256|96
1,17|27|28|40,176.0,301,301|51,301|51
1,17|27|28|42,176.0,260,260|92,260|92
1,17|27|37|38,176.0,211,211|141,211|141
1,17|27|37|40,176.0,211,211|141,211|141
1,17|27|38|40,176.0,211,211|141,211|141
1,17|28|29|42,176.0,256,256|96,256|96
1,17|28|31|40,176.0,45,45|307,45|307
1,17|28|35|38,176.0,2,2|350,2|350
1,17|31|32|41,176.0,225,225|127,225|127
1,17|32|36|37,176.0,63,63|289,63|289
1,17|33|41|42,176.0,106,106|246,106|246
1,17|36|37|43,176.0,181,181|171,181|171
1,17|37|38|40,176.0,211,211|141,211|141
1,18|19|21|38,176.0,167,167|185,167|185
1,18|19|25|41,176.0,201,201|151,201|151
1,18|19|34|40,176.0,62,62|290,62|290
1,18|19|36|43,176.0,246,246|106,246|106
1,18|20|21|35,176.0,152,152|200,152|200
1,18|20|21|43,176.0,152,152|200,152|200
1,18|20|27|29,176.0,82,82|270,82|270
1,18|20|35|43,176.0,152,152|200,152|200
1,18|21|24|43,176.0,12,12|340,12|340
1,18|21|35|43,176.0,152,152|200,152|200
1,18|22|30|39,176.0,294,294|58,294|58
1,18|22|32|37,176.0,333,333|19,333|19
1,18|22|32|39,176.0,333,333|19,333|19
1,18|22|37|39,176.0,333,333|19,333|19
1,18|23|28|33,176.0,101,101|251,101|251
1,18|23|28|35,176.0,101,101|251,101|251
1,18|23|31|36,176.0,14,14|338,14|338
1,18|23|32|40,176.0,293,293|59,293|59
1,18|23|33|35,176.0,101,101|251,101|251
1,18|24|28|36,176.0,19,19|333,19|333
1,18|24|28|40,176.0,19,19|333,19|333
1,18|24|34|39,176.0,147,147|205,147|205
1,18|24|36|40,176.0,19,19|333,19|333
1,18|26|37|42,176.0,42,42|310,42|310
1,18|27|38|40,176.0,302,302|50,302|50
1,18|27|38|41,176.0,302,302|50,302|50
1,18|27|40|41,176.0,302,302|50,302|50
1,18|28|33|35,176.0,101,101|251,101|251
1,18|28|36|40,176.0,19,19|333,19|333
1,18|29|35|37,176.0,107,107|245,107|245
1,18|29|37|39,176.0,120,120|232,120|232
1,18|32|37|39,176.0,333,333|19,333|19
1,18|33|41|42,176.0,106,106|246,106|246
1,18|34|37|39,176.0,265,265|87,265|87
1,18|34|37|41,176.0,265,265|87,265|87
1,18|34|39|41,176.0,265,265|87,265|87
1,18|34|42|43,176.0,207,207|145,207|145
1,18|37|39|41,176.0,265,265|87,265|87
1,18|38|40|41,176.0,302,302|50,302|50
1,19|20|21|28,176.0,11,11|341,11|341
1,19|20|24|34,176.0,56,56|296,56|296
1,19|20|24|43,176.0,56,56|296,56|296
1,19|20|29|43,176.0,91,91|261,91|261
1,19|20|34|38,176.0,196,196|156,196|156
1,19|20|34|39,176.0,196,196|156,196|156
1,19|20|34|43,176.0,56,56|296,56|296
1,19|20|38|39,176.0,196,196|156,196|156
1,19|22|25|37,176.0,7,7|345,7|345
1,19|22|25|38,176.0,75,75|277,75|277
1,19|22|28|32,176.0,172,172|180,172|180
1,19|22|29|38,176.0,304,304|48,304|48
1,19|22|29|39,176.0,304,304|48,304|48
1,19|22|35|38,176.0,347,347|5,347|5
1,19|22|38|39,176.0,304,304|48,304|48
1,19|23|25|41,176.0,103,103|249,103|249
1,19|23|26|30,176.0,96,96|256,96|256
1,19|23|26|36,176.0,96,96|256,96|256
1,19|23|30|36,176.0,96,96|256,96|256
1,19|24|34|43,176.0,56,56|296,56|296
1,19|25|28|31,176.0,162,162|190,162|190
1,19|25|28|36,176.0,350,350|2,350|2
1,19|25|28|40,176.0,162,162|190,162|190
1,19|25|31|40,176.0,162,162|190,162|190
1,19|25|36|38,176.0,51,51|301,51|301
1,19|26|30|36,176.0,96,96|256,96|256
1,19|26|33|34,176.0,199,199|153,199|153
1,19|26|33|42,176.0,199,199|153,199|153
1,19|26|34|42,176.0,199,199|153,199|153
1,19|27|28|37,176.0,346,346|6,346|6
1,19|27|28|41,176.0,271,271|81,271|81
1,19|28|31|40,176.0,162,162|190,162|190
1,19|29|36|40,176.0,81,81|271,81|271
1,19|29|38|39,176.0,304,304|48,304|48
1,19|31|37|39,176.0,102,102|250,102|250
1,19|33|34|42,176.0,199,199|153,199|153
1,19|34|38|39,176.0,196,196|156,196|156
1,20|21|23|32,176.0,189,189|163,189|163
1,20|21|34|36,176.0,5,5|347,5|347
1,20|21|35|43,176.0,152,152|200,152|200
1,20|21|38|40,176.0,50,50|302,50|302
1,20|22|24|36,176.0,232,232|120,232|120
1,20|22|25|37,176.0,331,331|21,331|21
1,20|22|25|43,176.0,331,331|21,331|21
1,20|22|37|43,176.0,331,331|21,331|21
