conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
6,6|20,63,72,9,1,72|151|1|123|61|1|33,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,20|33,63,72,9,72|90|29|48|35|160|8,72|90|29|48|35|160|8,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
7,15|38,55,46,9,46|13|47|59|67|84|25|101,46|13|47|59|67|84|25|101,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
5,7|10,73,64,9,64|120|131|53|17|57,64|120|131|53|17|57,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
6,18|37,63,54,9,54|37|41|24|1|97|188,54|37|41|24|1|97|188,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,11|18,63,54,9,54|123|70|7|78|67|43,54|123|70|7|78|67|43,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,18|32,88,97,9,97|163|17|58|107,97|163|17|58|107,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,18|36,63,54,9,54|14|3|154|107|67|43,54|14|3|154|107|67|43,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,40|42,63,53,10,53|4|120|21|70|133|41,53|4|120|21|70|133|41,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,9|41,73,63,10,63|99|27|52|66|135,63|99|27|52|66|135,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
6,16|28,63,73,10,73|5|221|57|44|41|1,73|5|221|57|44|41|1,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,21|27,88,98,10,98,98|98|199|30|17,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
8,2|8,49,39,10,39|92|163|16|55|12|2|33|30,39|92|163|16|55|12|2|33|30,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
9,5|18,44,34,10,34|36|1|7|15|44|10|59|191|45,34|36|1|7|15|44|10|59|191|45,0.0020316027088036117,0.6673438675696012,1.0,1.0,0.0020316027088036117
6,1|12,63,53,10,53,53|128|53|12|24|84|88,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,12|40,63,53,10,53|90|73|54|121|19|32,53|90|73|54|121|19|32,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,4|13,73,83,10,83|11|63|29|248|8,83|11|63|29|248|8,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
9,36|37,44,54,10,54|40|1|18|55|52|70|28|27|97,54|40|1|18|55|52|70|28|27|97,0.0020316027088036117,0.6673438675696012,1.0,1.0,0.0020316027088036117
8,8|12,49,59,10,59|187|13|11|14|42|22|64|30,59|187|13|11|14|42|22|64|30,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
4,21|35,88,98,10,98|94|70|160|20,98|94|70|160|20,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,1|42,63,53,10,53|64|127|21|3|112|62,53|64|127|21|3|112|62,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,18|41,88,78,10,43,78|115|43|163|43,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,28|39,63,52,11,52,52|21|76|9|52|18|214,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,34|39,63,52,11,27,52|57|27|13|190|76|27,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,4|19,63,74,11,74|85|52|109|6|5|111,74|85|52|109|6|5|111,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,9|38,88,99,11,99|110|83|149|1,99|110|83|149|1,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
3,18|38,110,99,11,99|62|131|150,99|62|131|150,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
9,31|42,44,33,11,33|15|167|25|4|75|19|54|24|26,33|15|167|25|4|75|19|54|24|26,0.0020316027088036117,0.6673438675696012,1.0,1.0,0.0020316027088036117
6,19|32,63,74,11,74|186|109|21|14|22|16,74|186|109|21|14|22|16,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,2|11,73,62,11,62,62|18|62|210|27|63,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
2,15|25,147,159,12,159|53|230,159|53|230,0.0004514672686230248,0.6668171557562076,1.0,1.0,0.0004514672686230248
7,30|35,55,43,12,43|2|228|7|25|109|4|24,43|2|228|7|25|109|4|24,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
5,2|7,73,85,12,85|59|41|10|208|39,85|59|41|10|208|39,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
