conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
4,19|29,90,78,12,78|104|10|213|48,78|104|10|213|48,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
5,17|24,75,63,12,63|9|173|6|160|42,63|9|173|6|160|42,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
4,5|27,90,78,12,78|70|116|10|179,78|70|116|10|179,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
5,24|25,75,63,12,63|19|136|65|104|66,63|19|136|65|104|66,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
6,6|29,64,76,12,76|86|48|3|170|53|17,76|86|48|3|170|53|17,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
6,2|33,64,51,13,51|116|48|106|59|72|1,51|116|48|106|59|72|1,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
10,19|37,41,28,13,12,28|16|35|12|5|12|80|15|218|26|6,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
5,5|12,75,62,13,62|18|43|33|294|3,62|18|43|33|294|3,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
4,16|24,90,77,13,77|150|43|49|134,77|150|43|49|134,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
4,21|26,90,77,13,77|124|190|55|7,77|124|190|55|7,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
5,2|21,75,88,13,88|11|82|208|15|49,88|11|82|208|15|49,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
6,2|40,64,51,13,51,51|48|136|51|35|117|15,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
3,16|32,113,100,13,100|127|28|198,100|127|28|198,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
4,16|33,90,77,13,77|238|10|5|123,77|238|10|5|123,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
3,16|41,113,126,13,126|64|224|39,126|64|224|39,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
6,30|40,64,51,13,51|42|24|28|141|95|72,51|42|24|28|141|95|72,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
1,3|27,226,239,13,239|214,239|214,0.00022026431718061675,0.6667400881057269,1.0,1.0,0.00022026431718061675
2,9|23,151,138,13,138|171|144,138|171|144,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
4,9|13,90,104,14,104|113|61|144|31,104|113|61|144|31,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
8,12|35,50,36,14,36|44|129|17|32|56|27|107|5,36|44|129|17|32|56|27|107|5,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
6,24|29,64,78,14,78|43|50|74|12|34|162,78|43|50|74|12|34|162,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
7,19|22,56,70,14,70|38|68|85|12|132|43|5,70|38|68|85|12|132|43|5,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
