conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,14|27|37,229,354,125,354|105,354|105,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|26|34,229,104,125,104|355,104|355,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,14|27|43,229,354,125,354|105,354|105,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,19|40|42,229,103,126,103|356,103|356,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,20|32|33,153,27,126,27|207|225,27|207|225,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|16|17,229,355,126,355|104,355|104,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,20|40|42,229,103,126,103|356,103|356,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,14|18|33,153,27,126,27|337|95,27|337|95,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,19|20|40,229,103,126,103|356,103|356,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,10|16|17,229,355,126,355|104,355|104,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,19|20|42,229,103,126,103|356,103|356,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,2|22|28,153,279,126,279|44|136,279|44|136,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|16,229,355,126,355|104,355|104,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,10|16|27,229,355,126,355|104,355|104,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,18|20|33,153,27,126,27|337|95,27|337|95,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,16|17|27,229,355,126,355|104,355|104,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,14|20|33,153,27,126,27|337|95,27|337|95,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|17|27,229,355,126,355|104,355|104,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,20|28|42,229,103,126,103|356,103|356,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,28|40|42,229,103,126,103|356,103|356,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,10|12|17,229,355,126,355|104,355|104,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,12|17|27,229,355,126,355|104,355|104,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,19|28|42,229,103,126,103|356,103|356,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,7|9|16,153,26,127,26|250|183,26|250|183,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,9|19|36,229,102,127,102|357,102|357,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,3|31|35,229,356,127,356|103,356|103,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,31|35|40,229,356,127,356|103,356|103,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,9|20|36,229,102,127,102|357,102|357,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,23|31|35,229,356,127,356|103,356|103,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,3|35|40,229,356,127,356|103,356|103,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,23|31|40,229,356,127,356|103,356|103,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,9|19|20,229,102,127,102|357,102|357,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,3|23|40,229,356,127,356|103,356|103,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,3|23|31,229,356,127,356|103,356|103,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,23|35|40,229,356,127,356|103,356|103,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,9|19|37,229,102,127,102|357,102|357,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,3|31|40,229,356,127,356|103,356|103,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,9|36|37,229,102,127,102|357,102|357,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,20|36|37,229,102,127,102|357,102|357,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,19|36|37,229,102,127,102|357,102|357,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,15|16|26,153,26,127,26|207|226,26|207|226,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,19|20|36,229,102,127,102|357,102|357,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,12|28|33,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,28|30|33,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|28|33,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|30|33,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|12|28,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|12|30,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|12|33,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|2|16,229,101,128,101|358,101|358,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,5|16|23,229,101,128,101|358,101|358,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,22|29|30,153,25,128,25|75|359,25|75|359,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,1|5|23,229,101,128,101|358,101|358,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|2|23,229,101,128,101|358,101|358,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,29|30|38,153,25,128,25|102|332,25|102|332,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,21|22|38,153,25,128,25|45|389,25|45|389,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|28|30,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|28|30,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,12|30|33,229,357,128,357|102,357|102,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,2|5|16,229,101,128,101|358,101|358,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,21|22|30,153,25,128,25|69|365,25|69|365,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,22|29|38,153,25,128,25|386|48,25|386|48,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,22|26|39,229,100,129,100|359,100|359,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,14|25|37,153,282,129,282|147|30,282|147|30,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,6|22|28,153,24,129,24|241|194,24|241|194,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
