conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,3|15|20|25,226,252,26,252|201,252|201,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|15|23|25,226,252,26,252|201,252|201,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|16|18|30,226,329,103,329|124,329|124,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|16|18|34,226,329,103,329|124,329|124,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|16|19|20,226,337,111,337|116,337|116,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|16|19|23,226,337,111,337|116,337|116,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|16|20|23,226,337,111,337|116,337|116,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|16|25|41,226,190,36,190|263,190|263,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|16|30|34,226,329,103,329|124,329|124,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|17|23|32,226,233,7,233|220,233|220,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|17|25|39,226,238,12,238|215,238|215,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|17|25|42,226,238,12,238|215,238|215,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|17|39|42,226,238,12,238|215,238|215,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|18|21|36,226,181,45,181|272,181|272,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|18|24|37,226,356,130,356|97,356|97,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|18|30|34,226,329,103,329|124,329|124,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|18|34|42,226,308,82,308|145,308|145,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|18|34|43,226,308,82,308|145,308|145,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|18|42|43,226,308,82,308|145,308|145,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|19|20|21,226,112,114,112|341,112|341,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|19|20|23,226,337,111,337|116,337|116,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|19|20|24,226,46,180,46|407,46|407,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|19|20|28,226,112,114,112|341,112|341,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|19|21|28,226,112,114,112|341,112|341,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|19|34|37,226,44,182,44|409,44|409,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|19|34|43,226,44,182,44|409,44|409,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
