conteo,tupla,X,L,M,T
1,20|24|31|33,180.0,344,344|16,344|16
1,20|24|34|43,180.0,64,64|296,64|296
1,20|25|27|43,180.0,267,267|93,267|93
1,20|25|28|30,180.0,123,123|237,123|237
1,20|25|29|43,180.0,304,304|56,304|56
1,20|25|37|43,180.0,339,339|21,339|21
1,20|26|29|40,180.0,346,346|14,346|14
1,20|27|30|38,180.0,181,181|179,181|179
1,20|28|35|40,180.0,306,306|54,306|54
1,20|28|40|42,180.0,4,4|356,4|356
1,20|29|32|34,180.0,156,156|204,156|204
1,20|29|32|37,180.0,156,156|204,156|204
1,20|29|33|40,180.0,237,237|123,237|123
1,20|29|34|37,180.0,156,156|204,156|204
1,20|32|34|37,180.0,156,156|204,156|204
1,20|32|36|40,180.0,199,199|161,199|161
1,20|33|34|40,180.0,347,347|13,347|13
1,20|33|36|41,180.0,202,202|158,202|158
1,20|34|38|39,180.0,204,204|156,204|156
1,20|35|36|41,180.0,212,212|148,212|148
1,20|36|39|43,180.0,356,356|4,356|4
1,20|36|42|43,180.0,259,259|101,259|101
1,21|23|26|37,180.0,108,108|252,108|252
1,21|23|26|43,180.0,108,108|252,108|252
1,21|23|37|43,180.0,108,108|252,108|252
1,21|25|26|31,180.0,298,298|62,298|62
1,21|26|28|36,180.0,353,353|7,353|7
1,21|26|37|43,180.0,108,108|252,108|252
1,21|27|36|40,180.0,6,6|354,6|354
1,21|27|41|43,180.0,206,206|154,206|154
1,21|30|35|36,180.0,81,81|279,81|279
1,21|30|35|41,180.0,81,81|279,81|279
1,21|30|36|41,180.0,81,81|279,81|279
1,21|31|32|39,180.0,307,307|53,307|53
1,21|32|33|34,180.0,231,231|129,231|129
1,21|32|33|37,180.0,231,231|129,231|129
1,21|32|34|37,180.0,231,231|129,231|129
1,21|32|36|37,180.0,71,71|289,71|289
1,21|33|34|37,180.0,231,231|129,231|129
1,21|33|39|43,180.0,84,84|276,84|276
1,21|35|36|41,180.0,81,81|279,81|279
1,22|24|27|37,180.0,31,31|329,31|329
1,22|24|28|34,180.0,305,305|55,305|55
1,22|24|28|42,180.0,305,305|55,305|55
1,22|24|34|42,180.0,305,305|55,305|55
1,22|25|28|40,180.0,166,166|194,166|194
1,22|25|36|37,180.0,119,119|241,119|241
1,22|25|37|43,180.0,339,339|21,339|21
1,22|26|29|30,180.0,1,1|359,1|359
2,22|26|29|36,120.0,217,217|3|140,217|3|140
1,22|26|29|39,180.0,1,1|359,1|359
1,22|26|30|39,180.0,1,1|359,1|359
1,22|27|40|41,180.0,9,9|351,9|351
1,22|28|34|42,180.0,305,305|55,305|55
1,22|29|30|39,180.0,1,1|359,1|359
1,22|29|32|41,180.0,351,351|9,351|9
1,22|29|38|39,180.0,312,312|48,312|48
1,22|30|31|34,180.0,72,72|288,72|288
1,22|30|32|40,180.0,0,0|360,0|360
1,22|30|32|42,180.0,0,0|360,0|360
1,22|30|40|42,180.0,0,0|360,0|360
1,22|31|32|37,180.0,331,331|29,331|29
1,22|32|37|39,180.0,341,341|19,341|19
1,22|32|40|42,180.0,0,0|360,0|360
1,22|33|36|41,180.0,161,161|199,161|199
1,22|34|36|37,180.0,35,35|325,35|325
1,22|34|36|43,180.0,35,35|325,35|325
1,22|34|37|43,180.0,35,35|325,35|325
1,22|36|37|43,180.0,35,35|325,35|325
1,23|24|29|43,180.0,198,198|162,198|162
1,23|24|32|36,180.0,269,269|91,269|91
1,23|24|34|39,180.0,336,336|24,336|24
1,23|25|26|33,180.0,274,274|86,274|86
1,23|25|29|31,180.0,292,292|68,292|68
1,23|26|30|36,180.0,104,104|256,104|256
1,23|26|32|38,180.0,62,62|298,62|298
1,23|26|37|43,180.0,108,108|252,108|252
1,23|27|29|34,180.0,277,277|83,277|83
1,23|28|29|32,180.0,295,295|65,295|65
1,23|28|33|35,180.0,109,109|251,109|251
1,23|30|33|36,180.0,337,337|23,337|23
1,23|31|35|40,180.0,257,257|103,257|103
1,23|33|36|42,180.0,293,293|67,293|67
1,23|35|36|41,180.0,212,212|148,212|148
1,24|26|33|35,180.0,213,213|147,213|147
1,24|26|35|36,180.0,79,79|281,79|281
1,24|26|35|41,180.0,79,79|281,79|281
1,24|26|36|41,180.0,79,79|281,79|281
1,24|27|32|35,180.0,55,55|305,55|305
1,24|28|34|42,180.0,305,305|55,305|55
1,24|28|36|39,180.0,323,323|37,323|37
1,24|28|36|40,180.0,27,27|333,27|333
1,24|29|30|38,180.0,28,28|332,28|332
1,24|29|34|35,180.0,164,164|196,164|196
1,24|29|34|40,180.0,164,164|196,164|196
1,24|29|35|40,180.0,164,164|196,164|196
1,24|30|37|38,180.0,52,52|308,52|308
1,24|30|37|40,180.0,52,52|308,52|308
1,24|30|38|40,180.0,52,52|308,52|308
1,24|31|32|33,180.0,313,313|47,313|47
1,24|31|32|34,180.0,313,313|47,313|47
