conteo,tupla,X,L,M,T
1,4|21|40,180.0,340,340|20,340|20
1,4|21|42,180.0,313,313|47,313|47
1,4|22|25,180.0,69,69|291,69|291
1,4|22|27,180.0,220,220|140,220|140
1,4|22|28,180.0,69,69|291,69|291
1,4|22|29,180.0,261,261|99,261|99
1,4|22|32,180.0,261,261|99,261|99
2,4|22|34,120.0,19,19|135|206,19|135|206
1,4|22|36,180.0,12,12|348,12|348
1,4|22|37,180.0,12,12|348,12|348
2,4|22|38,120.0,19,19|112|229,19|112|229
1,4|22|40,180.0,261,261|99,261|99
1,4|22|41,180.0,154,154|206,154|206
1,4|22|43,180.0,131,131|229,131|229
1,4|23|26,180.0,292,292|68,292|68
1,4|23|38,180.0,246,246|114,246|114
2,4|24|26,120.0,18,18|104|238,18|104|238
1,4|24|27,180.0,122,122|238,122|238
2,4|24|32,120.0,1,1|17|342,1|17|342
1,4|24|41,180.0,341,341|19,341|19
1,4|25|28,180.0,69,69|291,69|291
2,4|25|31,120.0,38,38|83|239,38|83|239
1,4|25|36,180.0,38,38|322,38|322
1,4|25|38,180.0,121,121|239,121|239
1,4|25|43,180.0,121,121|239,121|239
1,4|26|27,180.0,122,122|238,122|238
3,4|26|32,90.0,18,18|55|21|266,18|55|21|266
1,4|26|36,180.0,73,73|287,73|287
1,4|26|42,180.0,73,73|287,73|287
1,4|27|32,180.0,251,251|109,251|109
1,4|27|34,180.0,129,129|231,129|231
1,4|27|35,180.0,142,142|218,142|218
1,4|27|40,180.0,251,251|109,251|109
1,4|27|42,180.0,313,313|47,313|47
2,4|28|33,120.0,87,87|220|53,87|220|53
1,4|28|43,180.0,307,307|53,307|53
1,4|29|30,180.0,334,334|26,334|26
1,4|29|31,180.0,334,334|26,334|26
1,4|29|32,180.0,261,261|99,261|99
1,4|29|36,180.0,294,294|66,294|66
1,4|29|37,180.0,75,75|285,75|285
2,4|29|38,120.0,294,294|33|33,294|33|33
1,4|29|39,180.0,294,294|66,294|66
2,4|29|40,120.0,261,261|94|5,261|94|5
1,4|29|41,180.0,105,105|255,105|255
1,4|29|42,180.0,334,334|26,334|26
1,4|29|43,180.0,355,355|5,355|5
1,4|30|31,180.0,334,334|26,334|26
1,4|30|34,180.0,238,238|122,238|122
1,4|30|37,180.0,50,50|310,50|310
1,4|30|38,180.0,234,234|126,234|126
2,4|30|42,120.0,234,234|100|26,234|100|26
1,4|30|43,180.0,238,238|122,238|122
1,4|31|33,180.0,352,352|8,352|8
1,4|31|36,180.0,38,38|322,38|322
1,4|31|37,180.0,78,78|282,78|282
1,4|31|38,180.0,121,121|239,121|239
1,4|31|42,180.0,334,334|26,334|26
1,4|31|43,180.0,121,121|239,121|239
1,4|32|33,180.0,193,193|167,193|167
1,4|32|35,180.0,236,236|124,236|124
2,4|32|36,120.0,73,73|163|124,73|163|124
1,4|32|37,180.0,236,236|124,236|124
2,4|32|40,120.0,251,251|10|99,251|10|99
1,4|32|41,180.0,193,193|167,193|167
2,4|32|42,120.0,73,73|122|165,73|122|165
1,4|33|34,180.0,331,331|29,331|29
1,4|33|35,180.0,331,331|29,331|29
1,4|33|41,180.0,193,193|167,193|167
1,4|33|43,180.0,307,307|53,307|53
1,4|34|35,180.0,331,331|29,331|29
1,4|34|38,180.0,19,19|341,19|341
1,4|34|41,180.0,154,154|206,154|206
1,4|34|43,180.0,238,238|122,238|122
1,4|35|36,180.0,236,236|124,236|124
1,4|35|37,180.0,236,236|124,236|124
1,4|35|40,180.0,340,340|20,340|20
3,4|36|37,90.0,12,12|224|27|97,12|224|27|97
1,4|36|38,180.0,294,294|66,294|66
1,4|36|39,180.0,294,294|66,294|66
1,4|36|41,180.0,317,317|43,317|43
1,4|36|42,180.0,73,73|287,73|287
1,4|36|43,180.0,263,263|97,263|97
1,4|37|43,180.0,263,263|97,263|97
1,4|38|39,180.0,294,294|66,294|66
1,4|38|42,180.0,234,234|126,234|126
2,4|38|43,120.0,121,121|10|229,121|10|229
1,4|39|43,180.0,112,112|248,112|248
1,4|40|43,180.0,355,355|5,355|5
1,5|6|15,180.0,211,211|149,211|149
1,5|6|16,180.0,55,55|305,55|305
1,5|6|18,180.0,55,55|305,55|305
1,5|6|22,180.0,55,55|305,55|305
1,5|6|27,180.0,211,211|149,211|149
1,5|6|30,180.0,211,211|149,211|149
1,5|7|8,180.0,155,155|205,155|205
1,5|7|12,180.0,3,3|357,3|357
1,5|7|13,180.0,168,168|192,168|192
1,5|7|14,180.0,155,155|205,155|205
1,5|7|16,180.0,168,168|192,168|192
1,5|7|22,180.0,3,3|357,3|357
1,5|7|28,180.0,155,155|205,155|205
1,5|8|14,180.0,155,155|205,155|205
2,5|8|20,120.0,137,137|219|4,137|219|4
1,5|8|24,180.0,356,356|4,356|4
1,5|8|28,180.0,155,155|205,155|205
1,5|8|29,180.0,137,137|223,137|223
1,5|10|16,180.0,252,252|108,252|108
1,5|10|35,180.0,252,252|108,252|108
1,5|10|39,180.0,252,252|108,252|108
1,5|11|22,180.0,64,64|296,64|296
1,5|11|27,180.0,64,64|296,64|296
1,5|11|35,180.0,64,64|296,64|296
1,5|12|14,180.0,61,61|299,61|299
2,5|12|15,120.0,61,61|296|3,61|296|3
1,5|12|20,180.0,357,357|3,357|3
1,5|12|22,180.0,3,3|357,3|357
1,5|12|32,180.0,7,7|353,7|353
1,5|12|34,180.0,7,7|353,7|353
1,5|12|38,180.0,134,134|226,134|226
2,5|12|40,120.0,61,61|73|226,61|73|226
1,5|12|42,180.0,357,357|3,357|3
1,5|12|43,180.0,7,7|353,7|353
1,5|13|16,180.0,168,168|192,168|192
1,5|13|17,180.0,345,345|15,345|15
2,5|13|22,120.0,232,232|113|15,232|113|15
1,5|13|23,180.0,232,232|128,232|128
1,5|13|27,180.0,90,90|270,90|270
1,5|13|40,180.0,345,345|15,345|15
1,5|13|41,180.0,90,90|270,90|270
1,5|14|15,180.0,61,61|299,61|299
1,5|14|28,180.0,155,155|205,155|205
1,5|14|30,180.0,254,254|106,254|106
1,5|14|40,180.0,61,61|299,61|299
1,5|15|18,180.0,65,65|295,65|295
1,5|15|20,180.0,357,357|3,357|3
1,5|15|21,180.0,230,230|130,230|130
1,5|15|22,180.0,230,230|130,230|130
2,5|15|27,120.0,24,24|187|149,24|187|149
2,5|15|30,120.0,48,48|163|149,48|163|149
1,5|15|36,180.0,24,24|336,24|336
1,5|15|38,180.0,24,24|336,24|336
2,5|15|39,120.0,65,65|165|130,65|165|130
2,5|15|40,120.0,48,48|13|299,48|13|299
1,5|15|42,180.0,357,357|3,357|3
2,5|16|18,120.0,55,55|69|236,55|69|236
1,5|16|22,180.0,55,55|305,55|305
2,5|16|25,120.0,124,124|94|142,124|94|142
1,5|16|26,180.0,6,6|354,6|354
1,5|16|29,180.0,6,6|354,6|354
1,5|16|30,180.0,124,124|236,124|236
1,5|16|35,180.0,252,252|108,252|108
2,5|16|39,120.0,218,218|34|108,218|34|108
1,5|16|41,180.0,218,218|142,218|142
1,5|17|20,180.0,215,215|145,215|145
1,5|17|22,180.0,345,345|15,345|15
1,5|17|23,180.0,215,215|145,215|145
1,5|17|27,180.0,171,171|189,171|189
1,5|17|29,180.0,171,171|189,171|189
